testcase_name,instance_size,num_of_vehicles,optimal_distance,b&c_distance,b&c_gap,ortools_distance,ortools_gap
A-n32-k5,31,5,784,926,18.11,784,0.0
A-n33-k5,32,5,661,661,0.0,661,0.0
A-n33-k6,32,6,742,836,12.67,742,0.0
A-n34-k5,33,5,778,805,3.47,778,0.0
A-n36-k5,35,5,799,1031,29.04,799,0.0
A-n37-k5,36,5,669,756,13.0,669,0.0
A-n37-k6,36,6,949,1271,33.93,949,0.0
A-n38-k5,37,5,730,986,35.07,730,0.0
A-n39-k5,38,5,822,1028,25.06,825,0.36
A-n39-k6,38,6,831,957,15.16,833,0.24
A-n44-k6,43,6,937,1343,43.33,939,0.21
A-n45-k6,44,6,944,1422,50.64,951,0.74
A-n45-k7,44,7,1146,1383,20.68,1146,0.0
A-n46-k7,45,7,914,1117,22.21,914,0.0
A-n48-k7,47,7,1073,1453,35.41,1073,0.0
A-n53-k7,52,7,1010,1385,37.13,1017,0.69
A-n54-k7,53,7,1167,1386,18.77,1170,0.26
A-n55-k9,54,9,1073,1472,37.19,1074,0.09
A-n60-k9,59,9,1354,1775,31.09,1354,0.0
A-n61-k9,60,9,1034,1354,30.95,1184,14.51
A-n62-k8,61,8,1288,1713,33.0,1306,1.4
A-n63-k10,62,10,1314,1860,41.55,1321,0.53
A-n63-k9,62,9,1616,2139,32.36,1641,1.55
A-n64-k9,63,9,1401,1903,35.83,1419,1.28
A-n65-k9,64,9,1174,1694,44.29,1184,0.85
A-n69-k9,68,9,1159,1477,27.44,1170,0.95
A-n80-k10,79,10,1763,2290,29.89,1791,1.59
