testcase_name,dataset,instance_size,num_of_vehicles,optimal_distance,original_ga_distance,original_ga_gap,improved_ga_distance,improved_ga_gap
A-n32-k5,A,31,5,784.0,924.0,17.86,834.0,6.38
A-n33-k5,A,32,5,661.0,736.0,11.35,665.0,0.61
A-n33-k6,A,32,6,742.0,821.0,10.65,769.0,3.64
A-n34-k5,A,33,5,778.0,873.0,12.21,796.0,2.31
A-n36-k5,A,35,5,799.0,922.0,15.39,842.0,5.38
A-n37-k5,A,36,5,669.0,808.0,20.78,704.0,5.23
A-n37-k6,A,36,6,949.0,1216.0,28.13,991.0,4.43
A-n38-k5,A,37,5,730.0,902.0,23.56,738.0,1.1
A-n39-k5,A,38,5,822.0,1060.0,28.95,889.0,8.15
A-n39-k6,A,38,6,831.0,1012.0,21.78,872.0,4.93
A-n44-k6,A,43,6,937.0,1212.0,29.35,1012.0,8.0
A-n45-k6,A,44,6,944.0,1292.0,36.86,1010.0,6.99
A-n45-k7,A,44,7,1146.0,1487.0,29.76,1217.0,6.2
A-n46-k7,A,45,7,914.0,1338.0,46.39,995.0,8.86
A-n48-k7,A,47,7,1073.0,1453.0,35.41,1184.0,10.34
A-n53-k7,A,52,7,1010.0,1556.0,54.06,1093.0,8.22
A-n54-k7,A,53,7,1167.0,1726.0,47.9,1265.0,8.4
A-n55-k9,A,54,9,1073.0,1671.0,55.73,1170.0,9.04
A-n60-k9,A,59,9,1354.0,2015.0,48.82,1474.0,8.86
A-n61-k9,A,60,9,1034.0,1511.0,46.13,1158.0,11.99
A-n62-k8,A,61,8,1288.0,1981.0,53.8,1366.0,6.06
A-n63-k10,A,62,10,1314.0,1841.0,40.11,1345.0,2.36
A-n63-k9,A,62,9,1616.0,2394.0,48.14,1693.0,4.76
A-n64-k9,A,63,9,1401.0,2031.0,44.97,1495.0,6.71
A-n65-k9,A,64,9,1174.0,1918.0,63.37,1334.0,13.63
A-n69-k9,A,68,9,1159.0,1888.0,62.9,1246.0,7.51
A-n80-k10,A,79,10,1763.0,2895.0,64.21,1933.0,9.64
E-n101-k14,E,100,14,1067.0,1984.0,85.94,1256.0,17.71
E-n101-k8,E,100,8,815.0,1650.0,102.45,928.0,13.87
E-n13-k4,E,12,4,247.0,247.0,0.0,247.0,0.0
E-n22-k4,E,21,4,375.0,383.0,2.13,396.0,5.6
E-n23-k3,E,22,3,569.0,570.0,0.18,569.0,0.0
E-n30-k3,E,29,3,534.0,584.0,9.36,541.0,1.31
E-n31-k7,E,30,7,379.0,649.0,71.24,511.0,34.83
E-n33-k4,E,32,4,835.0,955.0,14.37,880.0,5.39
E-n51-k5,E,50,5,521.0,809.0,55.28,551.0,5.76
E-n76-k10,E,75,10,830.0,1426.0,71.81,932.0,12.29
E-n76-k14,E,75,14,1021.0,1533.0,50.15,1123.0,9.99
E-n76-k7,E,75,7,682.0,1213.0,77.86,786.0,15.25
E-n76-k8,E,75,8,735.0,1283.0,74.56,829.0,12.79
Golden_1,Golden,240,9,5623.47,22239.0,295.47,5809.0,3.3
Golden_10,Golden,323,16,735.427307,3443.0,368.16,752.0,2.25
Golden_11,Golden,399,18,911.980164,4847.0,431.48,908.0,-0.44
Golden_12,Golden,483,19,1100.665283,6831.0,520.62,1118.0,1.57
Golden_13,Golden,252,26,857.189,3054.0,256.28,955.0,11.41
Golden_14,Golden,320,30,1080.55,4371.0,304.52,1263.0,16.88
Golden_15,Golden,396,33,1337.2677,6205.0,364.01,1524.0,13.96
Golden_16,Golden,480,37,1611.2769688292835,8145.0,405.5,1866.0,15.81
Golden_17,Golden,240,22,707.756,2323.0,228.22,822.0,16.14
Golden_18,Golden,300,27,995.133,3485.0,250.2,1239.0,24.51
Golden_19,Golden,360,33,1365.6,5325.0,289.94,1619.0,18.56
Golden_2,Golden,320,10,8404.61,41131.0,389.39,9026.0,7.39
Golden_20,Golden,420,38,1817.59,7431.0,308.84,2168.0,19.28
Golden_3,Golden,400,10,10997.8,63521.0,477.58,11893.0,8.14
Golden_4,Golden,480,10,13588.6,94878.0,598.22,15049.0,10.75
Golden_5,Golden,200,5,6460.98,27814.0,330.49,8833.0,36.71
Golden_6,Golden,280,7,8400.33,41791.0,397.49,9319.0,10.94
Golden_7,Golden,360,8,10102.7,55851.0,452.83,11150.0,10.37
Golden_8,Golden,440,10,11635.3,71060.0,510.73,12563.0,7.97
Golden_9,Golden,255,14,579.702026,2228.0,284.34,554.0,-4.43
